timestamp,parking_id,price,occupancy,capacity,queue_length
2016-10-04 07:59:00,0,5.0,61,577,1
2016-10-04 08:25:00,1,5.0,64,577,1
2016-10-04 08:59:00,2,5.0,80,577,2
2016-10-04 09:32:00,3,5.0,107,577,2
2016-10-04 09:59:00,4,5.0,150,577,2
2016-10-04 10:26:00,5,5.0,177,577,3
2016-10-04 10:59:00,6,5.0,219,577,6
2016-10-04 11:25:00,7,5.0,247,577,5
2016-10-04 11:59:00,8,5.0,259,577,5
2016-10-04 12:29:00,9,5.0,266,577,8
2016-10-04 13:02:00,10,5.0,269,577,7
2016-10-04 13:29:00,11,5.0,263,577,7
2016-10-04 14:02:00,12,5.0,238,577,5
2016-10-04 14:29:00,13,5.0,215,577,3
2016-10-04 14:57:00,14,5.0,192,577,3
2016-10-04 15:30:00,15,5.0,165,577,2
2016-10-04 16:04:00,16,5.0,162,577,1
2016-10-04 16:31:00,17,5.0,143,577,2
2016-10-05 07:57:00,18,5.0,54,577,1
2016-10-05 08:30:00,19,5.0,59,577,1
2016-10-05 09:04:00,20,5.0,71,577,2
2016-10-05 09:30:00,21,5.0,83,577,2
2016-10-05 10:04:00,22,5.0,114,577,3
2016-10-05 10:30:00,23,5.0,128,577,4
2016-10-05 11:04:00,24,5.0,148,577,4
2016-10-05 11:30:00,25,5.0,162,577,4
2016-10-05 12:04:00,26,5.0,178,577,6
2016-10-05 12:30:00,27,5.0,183,577,7
2016-10-05 12:57:00,28,5.0,175,577,7
2016-10-05 13:30:00,29,5.0,179,577,6
2016-10-05 13:57:00,30,5.0,174,577,4
2016-10-05 14:30:00,31,5.0,158,577,5
2016-10-05 14:57:00,32,5.0,145,577,3
2016-10-05 15:30:00,33,5.0,129,577,2
2016-10-05 16:04:00,34,5.0,121,577,2
2016-10-05 16:30:00,35,5.0,114,577,1
2016-10-06 07:57:00,36,5.0,58,577,1
2016-10-06 08:30:00,37,5.0,63,577,1
2016-10-06 08:57:00,38,5.0,70,577,1
2016-10-06 09:30:00,39,5.0,95,577,2
2016-10-06 10:03:00,40,5.0,135,577,3
2016-10-06 10:30:00,41,5.0,160,577,3
2016-10-06 10:57:00,42,5.0,177,577,3
2016-10-06 11:30:00,43,5.0,191,577,4
2016-10-06 12:04:00,44,5.0,199,577,7
2016-10-06 12:30:00,45,5.0,206,577,7
2016-10-06 12:57:00,46,5.0,198,577,5
2016-10-06 13:30:00,47,5.0,208,577,7
2016-10-06 13:57:00,48,5.0,200,577,5
2016-10-06 14:30:00,49,5.0,175,577,3
2016-10-06 15:04:00,50,5.0,158,577,2
2016-10-06 15:31:00,51,5.0,153,577,2
2016-10-06 16:04:00,52,5.0,135,577,1
2016-10-06 16:30:00,53,5.0,129,577,2
2016-10-07 08:03:00,54,5.0,58,577,2
2016-10-07 08:30:00,55,5.0,61,577,2
2016-10-07 09:04:00,56,5.0,75,577,1
2016-10-07 09:30:00,57,5.0,103,577,2
2016-10-07 09:57:00,58,5.0,128,577,2
2016-10-07 10:30:00,59,5.0,172,577,5
2016-10-07 10:57:00,60,5.0,188,577,3
2016-10-07 11:30:00,61,5.0,199,577,4
2016-10-07 12:03:00,62,5.0,210,577,7
2016-10-07 12:30:00,63,5.0,206,577,7
2016-10-07 13:04:00,64,5.0,200,577,7
2016-10-07 13:30:00,65,5.0,201,577,7
2016-10-07 14:03:00,66,5.0,193,577,3
2016-10-07 14:30:00,67,5.0,181,577,4
2016-10-07 15:04:00,68,5.0,172,577,2
2016-10-07 15:30:00,69,5.0,159,577,2
2016-10-07 15:57:00,70,5.0,158,577,2
2016-10-07 16:30:00,71,5.0,132,577,2
2016-10-08 07:57:00,72,5.0,58,577,1
2016-10-08 08:30:00,73,5.0,61,577,2
2016-10-08 08:57:00,74,5.0,75,577,1
2016-10-08 09:30:00,75,5.0,104,577,2
2016-10-08 10:04:00,76,5.0,158,577,3
2016-10-08 10:30:00,77,5.0,191,577,3
2016-10-08 10:57:00,78,5.0,223,577,4
2016-10-08 11:30:00,79,5.0,254,577,4
2016-10-08 12:04:00,80,5.0,306,577,7
2016-10-08 12:30:00,81,5.05,320,577,8
2016-10-08 13:04:00,82,5.05,348,577,7
2016-10-08 13:30:00,83,5.1,357,577,7
2016-10-08 14:03:00,84,5.0,395,577,4
2016-10-08 14:30:00,85,5.0,400,577,4
2016-10-08 14:57:00,86,5.0,395,577,4
2016-10-08 15:30:00,87,5.0,406,577,3
2016-10-08 16:04:00,88,5.0,381,577,2
2016-10-08 16:30:00,89,5.0,365,577,2
2016-10-09 08:04:00,90,5.0,42,577,2
2016-10-09 08:30:00,91,5.0,42,577,2
2016-10-09 09:04:00,92,5.0,43,577,2
2016-10-09 09:30:00,93,5.0,43,577,2
2016-10-09 09:57:00,94,5.0,50,577,3
2016-10-09 10:30:00,95,5.0,64,577,5
2016-10-09 11:04:00,96,5.0,100,577,6
2016-10-09 11:30:00,97,5.0,126,577,6
2016-10-09 11:57:00,98,5.0,148,577,6
2016-10-09 12:30:00,99,5.78,170,577,9
2016-10-09 13:04:00,100,5.53,189,577,8
2016-10-09 13:30:00,101,5.58,205,577,9
2016-10-09 14:03:00,102,5.47,208,577,7
2016-10-09 14:30:00,103,5.16,209,577,5
2016-10-09 15:04:00,104,5.0,191,577,3
2016-10-09 15:30:00,105,5.0,180,577,3
2016-10-09 16:03:00,106,5.0,155,577,3
2016-10-09 16:30:00,107,5.0,133,577,2
2016-10-10 08:04:00,108,5.0,54,577,1
2016-10-10 08:30:00,109,5.0,56,577,1
2016-10-10 09:04:00,110,5.0,65,577,1
2016-10-10 09:30:00,111,5.0,73,577,2
2016-10-10 10:03:00,112,5.0,92,577,2
2016-10-10 10:30:00,113,5.0,113,577,4
2016-10-10 10:57:00,114,5.0,144,577,3
2016-10-10 11:30:00,115,5.0,149,577,4
2016-10-10 11:57:00,116,5.0,159,577,4
2016-10-10 12:30:00,117,5.0,171,577,6
2016-10-10 13:04:00,118,5.0,176,577,5
2016-10-10 13:30:00,119,5.0,172,577,6
2016-10-10 14:03:00,120,5.0,161,577,5
2016-10-10 14:30:00,121,5.0,154,577,3
2016-10-10 14:57:00,122,5.0,137,577,4
2016-10-10 15:30:00,123,5.0,129,577,1
2016-10-10 15:57:00,124,5.0,130,577,3
2016-10-10 16:30:00,125,5.0,114,577,2
2016-10-11 08:04:00,126,5.0,56,577,1
2016-10-11 08:30:00,127,5.0,64,577,1
2016-10-11 08:57:00,128,5.0,74,577,1
2016-10-11 09:30:00,129,5.0,93,577,2
2016-10-11 09:57:00,130,5.0,129,577,2
2016-10-11 10:30:00,131,5.0,167,577,3
2016-10-11 10:57:00,132,5.0,200,577,3
2016-10-11 11:30:00,133,5.0,219,577,5
2016-10-11 12:03:00,134,5.0,225,577,7
2016-10-11 12:30:00,135,5.0,221,577,8
